1|Allied Electronics|1155 Lola Street, Unit 6|Ottawa|Ontario|CANADA|K1K4C1||(613) 228-1964||(613) 228-8006|||||N|N|N|N|N
2|Newark InOne|150 West Park Loop Suite 110|Huntsville|AL|USA|35806||(800) 2-NEWARK (800-263-9275)|(256) 837-9091|(256) 837-1288|huntsville@newarkinone.com||||Y|Y|||
155|Allied Electronics<BR>#43|2970 Cottage Hill Rd., Suite 206|Mobile|AL|USA|36606||251-476-1875||251-473-4325||www.alliedelec.com|||Y|Y|Y|Y|N
156|Allied Electronics<br>#92|4835 University Square, Suite 12|Huntsville|AL|USA|35816||256-721-3500||256-721-9877||www.alliedelec.com|||Y|Y|Y|Y|N
5|Powell Electronics<br>Southern Region|6767 Madison Pike NW Suite 100|Huntsville|AL|USA|35806||256.971.5900||256.971.5944|tstrope@powell.com|www.powell.com|Tony Strope|Branch Manager|Y|Y|Y|Y|N
6|Allied Electronics<br>#16 CHICAGO - NORTH|420 N. Front St., Ste 104|McHenry,|IL|USA|60050||(815) 759-9155||(815) 759-9154|bill.mohlman@alliedelec.com||||Y|Y|Y|Y|N
7|Newark InOne|2601 Crossroads Dr. Suite 100|Madison|WI|USA|53718|7923|(800) 2-NEWARK (800-263-9275)|(608) 243-9230|(608) 243-9210|madison@newarkinone.com||||Y|Y|||
9|Allied Electronics<br>#67 SEATTLE|19625 62nd Ave. South, #C105|Kent,|WA|USA|98032||(425) 251-0240||(425) 251-0317||www.alliedelec.com|||Y|Y|Y|Y|N
10|Powell Electronics<br>Northwest Region|720 South 333 Street, Suite 210|Federal Way,|WA|USA|98003||253.874.2215||253.925.1360|khettinger.powell.com|www.powell.com|Kelly Hettinger|Branch Manager|Y|Y|Y|Y|N
11|Newark InOne|1504 Santa Rosa Rd. Suite 115|Richmond,|VA|USA|23229|1504|(800) 2-NEWARK (800-263-9275)|(804) 282-5671|(804) 282-3109|richmond@newarkinone.com||||Y|Y|||
12|Allied Electronics<br>#14 NORTHERN VIRGINIA|7406 Alban Station Court, Ste B206|Springfield,|VA|USA|22150|2314|(703) 644-9515||(703) 644-2294|||||Y|Y|Y|Y|
157|Allied Electronics<BR>#97|10824 Old Mill Road, Ste 5|Omaha|NE|USA|68154||402-697-0038||402-6970238||www.alliedelec.com|||Y|Y|Y|Y|
14|Allied Electronics<br>#39 SALT LAKE CITY|515 East 4500 South Professional Plaza, Ste G-210|Salt Lake City,|UT|USA|84107|2966|(801) 261-5244||(801) 261-5465|||||Y|Y|Y|Y|N
15|Walker Component Group / IEC|443 West Bearcat Drive|Salt Lake City,|UT|USA|84115||801-977-9750|877-274-3442|801-975-1207|slcsales@wcg-iec.com||||Y|Y|Y||
16|Newark InOne|7500 Viscount Ave. Suite 292|El Paso,|TX|USA|79925|5694|(800) 2-NEWARK (800-263-9275)|(915) 772-6367|(915) 772-3192|E: elpaso@newarkinone.com||||Y|Y|||
17|Newark InOne|719 Sawdust Rd. Suite 207|Spring,|TX|USA|77380||(800) 2-NEWARK (800-263-9275)|(281) 296-6332|(281) 296-6331|E: houston@newarkinone.com||||Y|Y|||
18|Newark InOne|12880 Hillcrest Rd. Suite 115|Dallas,|TX|USA|75230|1501|(800) 2-NEWARK (800-263-9275)|(972) 458-2528|(972) 458-2530|E: dallas@newarkinone.com||||Y|Y|||
19|Allied Electronics<br>#41 BROWNSVILLE|3505 Boca Chica Blvd, Ste 260|Brownsville,|TX|USA|78521||(956) 548-1129||(956) 548-1235|||||Y|Y|Y|Y|
20|Allied Electronics<br>#06 DALLAS|9550 Forest Lane, Ste 511|Dallas,|TX|USA|75243|8394|(214) 341-8444||(214) 341-6622|||||Y|Y|Y|Y|
