NotesID|OrderID|Note_Date|Note_Time|Details|Role
176|154|1/22/2005|12/31/1899|"Status Changed To: ""Rejected-No Fit"""|admin
177|155|1/22/2005|12/31/1899|"Status Changed To: ""Sales Contact"""|admin
178|95|1/27/2005|12/31/1899|"Status Changed To: ""Ship Completed"""|admin
179|95|1/27/2005|12/31/1899|NOTE: Jody approved this one and authorized shipment of samples|admin
180|17|1/27/2005|12/31/1899|"Status Changed To: ""Ship Completed"""|admin
181|34|1/27/2005|12/31/1899|"Status Changed To: ""Ship Completed"""|admin
225|160|1/31/2005|12/31/1899|"Account Info = ""Brian Kolb"", Price = """""|admin
226|160|1/31/2005|12/31/1899|"Authorization Changed to ""Yes"""|lori
227|160|1/31/2005|12/31/1899|"NOTE: customer will be taking prototype to ""Bike Week"" "|admin
228|160|1/31/2005|12/31/1899|"Status Changed To: ""Qualified Lead"""|admin
229|157|1/31/2005|12/31/1899|"Status Changed To: ""Refer to Disti"""|admin
230|157|1/31/2005|12/31/1899|NOTE: This is a graduate student w/ a thesis project - referred to disti|admin
231|157|1/31/2005|12/31/1899|"Authorization Changed to ""No"""|lori
232|137|1/31/2005|12/31/1899|"Status Changed To: ""Pending Qual"""|admin
233|137|1/31/2005|12/31/1899|NOTE: This is a home phone number....|admin
234|138|1/31/2005|12/31/1899|"Status Changed To: ""Pending Qual"""|admin
235|140|1/31/2005|12/31/1899|"Status Changed To: ""Pending Qual"""|admin
236|139|1/31/2005|12/31/1899|"Status Changed To: ""Pending Qual"""|admin
242|141|2/2/2005|12/31/1899|"Status Changed To: ""Pending Qual"""|admin
243|162|2/2/2005|12/31/1899|"Status Changed To: ""Rejected-No Fit"""|admin
244|162|2/2/2005|12/31/1899|NOTE: Is this place still around????|admin
245|144|2/2/2005|12/31/1899|NOTE: shipped 2/2/05 - s/o# 62447|admin
246|144|2/2/2005|12/31/1899|"Status Changed To: ""Ship Completed"""|admin
247|144|2/2/2005|12/31/1899|"Status Changed To: ""Ship Completed"""|admin
248|143|2/2/2005|12/31/1899|NOTE: Kurt called end-user.  Approved to ship additonal 2 pcs|admin
249|143|2/2/2005|12/31/1899|NOTE: tracking# is 1Z9505270343515605.  S/O# 62446|admin
250|143|2/2/2005|12/31/1899|"Status Changed To: ""Ship Completed"""|admin
251|143|2/2/2005|12/31/1899|"Status Changed To: ""Ship Completed"""|admin
252|158|2/2/2005|12/31/1899|NOTE: shipped 2/2/05.  SO# 62450|admin
253|158|2/2/2005|12/31/1899|"Status Changed To: ""Ship Completed"""|admin
269|127|2/9/2005|12/31/1899|"Status Changed To: ""Pending Qualification"""|admin
270|127|2/9/2005|12/31/1899|NOTE: sent email|admin
271|126|2/9/2005|12/31/1899|NOTE: sent email - awaiting response|admin
272|126|2/9/2005|12/31/1899|"Status Changed To: ""Pending Qualification"""|admin
273|126|2/9/2005|12/31/1899|NOTE: sent email - awaiting response|admin
274|129|2/9/2005|12/31/1899|"Status Changed To: ""Pending Qualification"""|admin
275|130|2/9/2005|12/31/1899|"Status Changed To: ""Pending Qualification"""|admin
276|130|2/9/2005|12/31/1899|NOTE: sent email -will follow up|admin
