Product_ID|Product_Name|Product_line|Type|News|Lcd|Lines|Character_Size|Viewing|Outline|Driving|Backlight|Built|Product_Price|Product_SH|PDF|Sort
1|AND671GST|AND Displays|STN, FSTN, BST|N||1 x 16|3.07 x 6.56|64.5 x 13.8|80 x 36 x 11.3|5|-|HD44780|0|0|AND671GST.pdf|10
2|AND671GST-LED|AND Displays|STN, FSTN, BST|N||1 x 16|3.07 x 6.56|64.5 x 13.8|80 x 36 x 16|5|LED|HD44780|0|0|AND671GST.pdf|11
3|AND471GST|AND Displays|STN, FSTN, BST|N||2 x 16|4.84 x 9.66|99 x 24|122 x 44 x 11.3|5|-|HD44780|0|0|AND471GST.pdf|13
4|AND471GST-LED|AND Displays|STN, FSTN, BST|Y||2 x 16|4.84 x 9 .66|99 x 24|122 x 44 x 13|5|LED|HD44780|0|0|AND471GST-LED.pdf|14
5|AND481GST|AND Displays|Alphanumeric LCDs|N||2 x 16|2.78 x 4.89|62 x 16|85 x 30 x 10.0|5|-|HD44780|0|0|AND481GST.pdf|16
6|AND481GST-LED|AND Displays|STN, FSTN, BST|N||2 x 16|2.78 x 4.89|62 x 16|85 x 30 x 15.8|5|LED|HD44780|0|0|AND481GST.pdf|17
7|AND491GST|AND Displays|STN, FSTN, BST|N||2 x 16|2.95 x 4.35|64.5 x 13.8|80 x 36 x 11.3|5|-|HD44780|0|0|AND491GST.pdf|18
8|AND491GST-LED|AND Displays|STN, FSTN, BST|Y|STN Super Twist|2 x 16|2.95 x 4.35|64.5 x 13.8|80 x 36 x 15.8|5|LED|HD44780|0|0|AND491GST-LED.pdf|19
9|AND731GST|AND Displays|STN, FSTN, BST|N||4 x 16|2.95 x 4.75|62 x 25.6|87 x 60 x 8.8|5|-|HD44780|0|0|AND731GST.pdf|21
10|AND731GST-LED|AND Displays|STN, FSTN, BST|N||4 x 16|2.95 x 4.75|62 x 25.6|87 x 60 x 12.7|5|LED|HD44780|0|0|AND731GST.pdf|22
11|AND501GST|AND Displays|STN, FSTN, BST|N||2 x 20|3.2 x 5.55|83 x 18.6|116 x 37 x 11.3|5|-|HD44780|0|0|AND501GST.pdf|23
12|AND501GST-LED|AND Displays|STN, FSTN, BST|N||2 x 20|3.2 x 5.55|83 x 18.6|116 x 37 x 15.8|5|LED|HD44780|0|0|AND501GST.pdf|24
13|AND501WGST|AND Displays|STN, FSTN, BST|N||2 x 20|3.2 x 5.55|83 x 18.6|116 x 37 x 15.8|5|LED|HD44780|0|0|AND501WGST.pdf|25
14|AND501WGST-LED|AND Displays|STN, FSTN, BST|N||2 x 20|3.2 x 5.55|83 x 18.6|116 x 37 x 15.8|5|LED|HD44780|0|0|AND501WGST.pdf|26
15|AND721GST|AND Displays|STN, FSTN, BST|N||4 x 20|2.95 x 4.75|76 x 25.2|98 x 60 x 12|5|-|HD44780|0|0|AND721GST.pdf|27
16|AND721GST-LED|AND Displays|STN, FSTN, BST|N||4 x 20|2.95 x 4.75|76 x 25.2|98 x 60 x 16|5|LED|HD44780|0|0|AND721GST.pdf|28
17|AND771GST|AND Displays|STN, FSTN, BST|N||2 x 24|3.2 x 5.50|94.5 x 17.8|118 x 36 x 11.3|5|-|HD44780|0|0|AND771GST.pdf|29
18|AND771GST-LED|AND Displays|STN, FSTN, BST|N||2 x 24|3.2 x 5.50|94.5 x 17.8|118 x 36 x 15.8|5|LED|HD44780|0|0|AND771GST.PDF|30
19|AND591GST|AND Displays|STN, FSTN, BST|N||2 x 40|3.2 x 5.55|154 x 15.3|182 x 33.5 x 8.8|5|-|HD44780|0|0|AND591GST.pdf|31
20|AND591GST-LED|AND Displays|STN, FSTN, BST|N||2 x 40|3.2 x 5.55|154 x 15.3|182 x 33.5 x 12.7|5|LED|HD44780|0|0|AND591GST.pdf|32
21|AND791GST|AND Displays|STN, FSTN, BST|N||4 x 40|2.78 x 4.89|149 x 29.5|190 x 54 x 8.8|5|-|HD44780|32|10|AND791GST.pdf|33
22|AND791GST-LED|AND Displays|STN, FSTN, BST|N||4 x 40|2.78 x 4.89|149 x 29.5|190 x 54 x 13.0|5|LED|HD44780|42|10|AND791GST.pdf|34
23|AND081GST|AND Displays|STN, FSTN, BST|Y||1 x 8|4.45 x 8.35|48.0 x 13.0|60 x 36 x 10|5|–|HD44780|0|0|AND081GST-LED.pdf|5
24|AND081GST-LED|AND Displays|STN, FSTN, BST|Y||1 x 8|4.45 x 8.35|48.0 x 13.0|60 x 36 x 13|5|LED|HD44780|0|0|AND081GST-LED.pdf|6
25|AND082GST|AND Displays|STN, FSTN, BST|Y||2 x 8|2.96 x 5.56|38.0 x 16.0|58 x 32 x 8.4|5|–|HD44780|0|0|AND082GST-LED.pdf|7
26|AND082GST-LED|AND Displays||Y||2 x 8|2.96 x 5.56|38.0 x 16.0|58 x 32 x 12.8|5|LED|HD44780|0|0|AND082GST-LED.pdf|9
27|AND491GST3-3V-W-LED|AND Displays||Y|STN|2 x 16|2.95 x 4.35|65.0 x 16.0|80.0 x 36.0 x 8.8|3.3|LED|ST7066U|||AND491GST3-3V-W-LED.pdf|20
