Product_ID|Product_Name|Product_Line|News|Type|Led|Lens|Peak|Lmin|Typ|Ifma|Total|Material|Product_Price|Product_SH|PDF|Sort
1|AND190HGP|AND Optoelectronics|N|T-3 Package (10mm)|Green|Clear|574|1,200|2,000|20|8|InGaAIP|0|0|AND190HGP.pdf|1
2|AND190GCP|AND Optoelectronics|N|T-3 Package (10mm)|Green|Clear|576|370|700|20|8|GaP|0|0|AND190GCP.pdf|2
4|AND412HG|AND Optoelectronics|Y|T-1 3/4 Package (5mm)|Green|Clear|505|1,250|2,200|20|12|InGaN|0|0|AND412HG.pdf|4
5|AND520HG|AND Optoelectronics|N|T-1 3/4 Package (5mm)|Green|Clear|525|2,500|5,000|20|20|InGaN|0|0|AND520HG.pdf|5
6|AND240GCP|AND Optoelectronics|N|T-1 3/4 Package (5mm)|Green|Clear|576|350|780|20|20|GaP|0|0|AND240GCP.pdf|6
7|AND135PGP|AND Optoelectronics|N|T-1 3/4 Package (5mm)|Green|Clear|567|300|500|20|25|GaP|0|0|AND135PGP.pdf|7
8|AND113G|AND Optoelectronics|N|T-1 3/4 Package (5mm)|Green|Green, Clear|565|20|50|10|30|GaP|0|0|AND113G-GP.pdf|8
9|AND113GP|AND Optoelectronics|N|T-1 3/4 Package (5mm)|Green|Green, Clear|565|5|20|50|10|GaP|0|0|AND113G-GP.pdf|9
10|AND114G|AND Optoelectronics|N|T-1 3/4 Package (5mm)|Green|Green, Diffused|565|5|18|10|60|GaP|0|0|AND114G-GP.pdf|10
11|AND114GP|AND Optoelectronics|N|T-1 3/4 Package (5mm)|Green|Green, Diffused|565|5|18|10|60|GaP|0|0|AND114G-GP.pdf|11
12|AND160NG|AND Optoelectronics|N|T-1 Package (3mm)|Green|Clear|570|8|15|20|140|GaP|0|0|AND160NG.pdf|12
13|AND262GCP|AND Optoelectronics|N|T-1 Package (3mm)|Green|Clear|567|70|110|20|36|GaP|0|0|AND262GCP.pdf|13
14|AND262HG|AND Optoelectronics|N|T-1 Package (3mm)|Green|Clear|525|630|1,000|20|35|GaN|0|0|AND262HG.pdf|14
15|AND123G|AND Optoelectronics|N|T-1 Package (3mm)|Green|Green, Clear|565|20|50|10|50|GaP|0|0|AND123G.pdf|15
16|AND124G|AND Optoelectronics|N|T-1 Package (3mm)|Green|Green, Diffused|565|8|20|10|60|GaP|0|0|AND124G.pdf|16
17|AND4GA (Flat)|AND Optoelectronics|N|T-1 Package (3mm) Surface Mount Package|Green|Clear|570|8|15|20|140|GaP|0|0|AND4GA.pdf|17
18|AND4GRA (Rt Angle)|AND Optoelectronics|N|T-1 Package (3mm) Surface Mount Package|Green|Clear|540|8|15|20|140|InGaN|0|0|AND4GRA.pdf|18
19|AND4PGA (Flat)|AND Optoelectronics|N|T-1 Package (3mm) Surface Mount Package|Green|Clear|555|0.85|2.0|20|140|GaP|0|0|AND4PGA.pdf|19
20|AND5GA (Domed)|AND Optoelectronics|N|T-1 Package (3mm) Surface Mount Package|Green|Clear|570|75|125|20|30|GaP|0|0|AND5GA.pdf|20
21|AND5G (Domed)|AND Optoelectronics|N|T-1 Package (3mm) Surface Mount Package|Green|Clear|570|75|125|20|30|GaP|0|0|AND5G.pdf|21
22|AND5PGA (Domed)|AND Optoelectronics|N|T-1 Package (3mm) Surface Mount Package|Green|Clear|555|20|35|20|30|GaP|0|0|AND5PGA.pdf|22
23|AND6GA (TOP LED)|AND Optoelectronics|N|T-1 Package (3mm) Surface Mount Package|Green|Clear|525|110|170|20|120|InGaN|0|0|AND6GA.pdf|23
24|AND7GA (Flat LP)|AND Optoelectronics|N|T-1 Package (3mm) Surface Mount Package|Green|Clear|525|112|180|20|120|InGaN|0|0|AND7GA.pdf|24
25|AND7GB (Flat LP)|AND Optoelectronics|N|T-1 Package (3mm) Surface Mount Package|Green|Clear|573|30|45|20|120|InGaN|0|0|AND7GB.pdf|25
26|AND157HGP|AND Optoelectronics|Y|T-1 3/4 Package (5mm)|Green|Clear|575|630|1,250|20|20|InGaAIP|0|0|AND157HGPnew.pdf|3
