Product_ID|Product_Name|Product_Line|News|Type|Led|Lens|Peak|Lmin|Typ|Ifma|Total|Material|Product_Price|Product_SH|PDF|Sort
1|AND190HAP|AND Optoelectronics|N|T-3 Package (10mm)|Amber|Clear|612|4,500|8,000|20|6|InGaAIP|0|0|AND190HAP.pdf|1
2|AND190HOP|AND Optoelectronics|N|T-3 Package (10mm)|Orange|Clear|620|4,000|6,000|20|6|InGaAIP|0|0|AND190HOP.pdf|2
3|AND157HAP|AND Optoelectronics|N|T-1 3/4 Package (5mm)|Amber|Clear|612|1,200|2,000|20|20|InGaAIP|0|0|AND157HAP.pdf|3
4|AND185HOP|AND Optoelectronics|N|T-1 3/4 Package (5mm)|Orange|Clear|620|9,000|11,700|20|6|InGaAIP|0|0|AND185HOP.pdf|4
5|AND185HAP|AND Optoelectronics|N|T-1 3/4 Package (5mm)|Amber|Clear|612|8,500|11,150|20|6|InGaAIP|0|0|AND185HAP.pdf|5
6|AND156HOP|AND Optoelectronics|N|T-1 3/4 Package (5mm)|Orange|Clear|620|6300|800|20|25|InGaAIP|0|0|AND156HOP.pdf|6
7|AND262HOP|AND Optoelectronics|N|T-1 Package (3mm)|Orange|Clear|620|250|420|20|40|InGaAIP|0|0|AND262HOP.pdf|7
8|AND262HAP|AND Optoelectronics|N|T-1 Package (3mm)|Amber|Clear|612|240|390|20|40|InGaAIP|0|0|AND262HAP.pdf|8
9|AND4OA (Flat)|AND Optoelectronics|N|T-1 Package (3mm) Surface Mount Package|Orange|Clear|620|27|60|20|140|InGaAIP|0|0|AND4OA.pdf|9
10|AND5OA (Domed)|AND Optoelectronics|N|T-1 Package (3mm) Surface Mount Package|Orange|Clear|620|490|750|20|30|InGaAIP|0|0|AND5OA.pdf|10
