Product_ID|Product_Name|Product_Line|News|Type|Led|Lens|Peak|Lmin|Typ|Ifma|Total|Material|Product_Price|Product_SH|PDF|Sort
1|AND205RA|AND Optoelectronics|N|Special Shape Package|Red|Red, Diffused|700|0.5|1|10|1 x 5|GaP|0|0|AND205RA.pdf|1
2|AND208RA|AND Optoelectronics|N|Special Shape Package|Red|Red, Diffused|700|0.5|1|10|2 x 5|GaP|0|0|AND208RA.pdf|2
3|AND211RA|AND Optoelectronics|N|Special Shape Package|Red|Red, Diffused|700|0.5|1|10|2 x 4|GaP|0|0|AND211RA.pdf|3
4|AND218RPA|AND Optoelectronics|N|Special Shape Package|Red|Red, Diffused|700|0.5|1|10|2 x 5|GaP|0|0|AND218RPA.pdf|4
5|AND226R|AND Optoelectronics|N|Special Shape Package|Red|Red, Diffused|700|0.5|1|10|Flat|GaP|0|0|AND226R.pdf|5
6|AND233CRP|AND Optoelectronics|N|Special Shape Package|Red|Clear|660|320|800|20||GaAIAs|0|0|AND233CRP.pdf|6
7|AND205YA|AND Optoelectronics|N|Special Shape Package|Yellow|Yellow, Diffused|590|2|4|10|1 x 5|GaAsP|0|0|AND205YA.pdf|7
8|AND211YA|AND Optoelectronics|N|Special Shape Package|Yellow|Yellow, Diffused|590|2|4|10|2 x 4|GaAsP|0|0|AND211YA.pdf|8
9|AND218YPA|AND Optoelectronics|N|Special Shape Package|Yellow|Yellow, Diffused|590|2|4|10|2 x 5|GaAsP|0|0|AND218YPA.pdf|9
10|AND226Y|AND Optoelectronics|N|Special Shape Package|Yellow|Yellow, Diffused|590|2|4|10|Flat|GaAsP|0|0|AND226Y.pdf|10
11|AND208YA|AND Optoelectronics|N|Special Shape Package|Yellow|Yellow, Diffused|590|2|3.5|10|2 x 5|GaAsP|0|0|AND208YA.pdf|11
12|AND233GCP|AND Optoelectronics|N|Special Shape Package|Green|Clear|567|60|150|20||GaP|0|0|AND233GCP.pdf|12
13|AND205GA|AND Optoelectronics|N|Special Shape Package|Green|Green, Diffused|565|2|4|10|1 x 5|GaP|0|0|AND205GA.pdf|13
14|AND211GA|AND Optoelectronics|N|Special Shape Package|Green|Green, Diffused|565|2|4|10|2 x 4|GaP|0|0|AND211GA.pdf|14
15|AND218GPA|AND Optoelectronics|N|Special Shape Package|Green|Green, Diffused|565|2|4|10|2 x 5|GaP|0|0|AND218GPA.pdf|15
16|AND226G|AND Optoelectronics|N|Special Shape Package|Green|Green, Diffused|565|2|4|10|Flat|GaP|0|0|AND226G.pdf|16
17|AND208GA|AND Optoelectronics|N|Special Shape Package|Green|Green, Diffused|565|2|3.5|10|2 x 5|GaP|0|0|AND208GA.pdf|17
